speaker,trial,target_colour_textgrid,target_name_textgrid,colour_start,colour_end,colour_dur,item_start,item_end,item_dur,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
MS,26,roten,aprikose,153.0374,153.6274,0.5900000000000034,153.6274,154.4074,0.7800000000000011,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,orange,apricot,red,33.148514851485146,32.654061351878994,25
MS,33,braunen,walnuss,202.8854,203.3454,0.46000000000000796,203.3454,203.8954,0.549999999999983,NF,typical,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,orange,Socken,gruen,walnut,brown,97.45544554455444,11.250355329922026,100
MS,35,gruenen,bohnen,214.203,214.583,0.37999999999999545,214.583,214.913,0.3300000000000125,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Socken,gelb,beans,green,96.81188118811882,7.065002294815097,100
MS,38,gelben,zitrone,229.4593,229.8093,0.3499999999999943,229.8093,230.4093,0.5999999999999943,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,rot,Sonnenbrille,rot,lemon,yellow,99.6039603960396,2.3794083631053837,100
MS,39,orangen,trauben,233.5399,234.1599,0.6200000000000045,234.1599,234.6599,0.5,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Zucchini,braun,grapes,orange,5.871287128712871,14.374048397258605,0
MS,41,braunen,banane,244.8072,245.1972,0.3900000000000148,245.1972,245.7172,0.5199999999999818,NF,medium,Banane,braun,Waescheklammer,braun,Zucchini,rot,Avokado,gruen,banana,brown,27.643564356435643,28.333225781197537,22
MS,43,roten,erdbeere,254.0856,254.4556,0.37000000000000455,254.4556,255.0556,0.5999999999999943,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Waescheklammer,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
MS,45,braunen,paprika,263.2804,263.6504,0.37000000000000455,263.6504,264.2604,0.6100000000000136,NF,atypical,Paprika,braun,Sonnenbrille,braun,Socken,gelb,Waescheklammer,rot,pepper,brown,7.772277227722772,16.440730633471745,0
MS,47,gelben,erbsen,273.0473,273.3673,0.3199999999999932,273.3673,273.8573,0.4900000000000091,NF,medium,Erbsen,gelb,Socken,gelb,Birne,rot,Sonnenbrille,braun,peas,yellow,34.57425742574257,33.063377484659206,27
MS,50,orangen,kartoffeln,288.9443,289.5543,0.6100000000000136,289.5543,290.2243,0.6700000000000159,NF,medium,Kartoffeln,orange,Socken,orange,Sonnenbrille,rot,Birne,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
MS,52,gruenen,moehre,300.6723,300.9623,0.29000000000002046,300.9623,301.3923,0.42999999999995,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,orange,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
MS,56,roten,gurke,319.7516,320.1216,0.37000000000000455,320.1216,320.5616,0.4399999999999977,NF,atypical,Gurke,rot,Waescheklammer,rot,Avokado,gruen,Bueroklammer,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
MS,58,orangen,mandarine,329.9094,330.4394,0.5299999999999727,330.4394,331.1394,0.7000000000000455,NF,typical,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot,mandarine,orange,98.70297029702972,4.731901424280615,100
MS,60,gelben,kirsche,340.506,340.886,0.3800000000000523,340.886,341.346,0.45999999999997954,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Birne,gruen,Bueroklammer,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
MS,61,roten,aprikose,343.9604,344.2804,0.3199999999999932,344.2804,345.0004,0.7200000000000273,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,orange,apricot,red,33.148514851485146,32.654061351878994,25
